Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2021,Micah Parsons,LB,Small,Big Ten,2,1,12,18,26,2,75,246,4.39,19,126,4.4,6.89,34,0,0,0,0,0,0,0,0,0,0,0,0,99,92,191,18,6.5,0,0,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014,Aaron Donald,DT,Pittsburgh,ACC,4,1,13,16.25,39,3,73,285,4.68,35,116,4.39,7.11,32,0,0,0,0,0,0,0,0,0,0,0,0,115,66,181,66,29.5,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2012,Russell Wilson,QB,Wisconsin,Big Ten,2,3,75,15.8,50,4,71,204,4.53,11,118,4.09,6.97,34,309,225,3175,33,4,191.8,79,338,6,3,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lamar Jackson,QB,Louisville,ACC,4,1,32,15.5,38,3,74,216,5,16,115,4.35,7.18,35,1086,619,9043,69,27,142.9,655,4132,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Justin Herbert,QB,Oregon,Pac-12,5,1,6,15.5,43,4,78,236,4.68,21,123,4.46,7.06,35.5,1293,827,10541,95,23,153.1,231,560,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Kyler Murray,QB,Oklahoma,Big 12,3,1,1,15.33333333,29,3,70,207,4.31,15,118,4.13,6.88,32,398,278,4720,45,7,203.3,154,1143,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Patrick Mahomes,QB,Texas Tech,Big 12,3,1,10,15,32,3,74,225,4.8,19,114,4.08,6.88,30,1349,857,11252,93,29,152,308,845,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mac Jones,QB,Alabama,SEC,1,1,15,14,30,3,74,217,4.72,14,116,4.39,7.04,32,556,413,6126,56,7,197.6,54,42,2,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Rashawn Slater,OL,Small,Big Ten,2,1,13,14,41,4,76,304,4.91,33,112,4.45,7.48,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jonathan Taylor,RB,Wisconsin,Big Ten,2,2,41,14,41,3,70,226,4.39,17,123,4.24,7.01,36,0,0,0,0,0,0,926,6174,50,42,407,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tristan Wirfs,OL,Iowa,Big Ten,2,1,13,14,27,4,77,320,4.85,24,121,4.68,7.65,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
